Frequency,T0Magnitude,T1Magnitude,T2Magnitude,T3Magnitude,T4Magnitude,T5Magnitude
650000000000,-11.63462435,-8.02885581,-8.456495496,-8.456495496,-6.992194522,-6.837979152
650625000000,-16.21710687,-12.57160363,-13.03278987,-13.03278987,-11.47482216,-11.42921545
651250000000,-14.80276353,-8.888119074,-9.89660668,-9.89660668,-9.517847843,-10.06849341
651875000000,-12.40344178,12.71395034,8.249745104,8.249745104,10.27621216,7.616427826
652500000000,-12.34918502,-1.026608421,-1.985304363,-1.985304363,1.753039513,2.670440332
653125000000,-15.07874071,-8.791807142,-9.279664571,-9.279664571,-7.574669659,-7.196580633
653750000000,-14.80224975,-12.83365868,-13.11448742,-13.11448742,-11.74026781,-11.44892293
654375000000,-16.08150802,-28.39505417,-32.31022702,-32.31022702,-28.75130232,-28.53817526
655000000000,-15.79748882,1.273135649,2.552856991,2.552856991,-3.153105477,-3.889132762
655625000000,-16.17581362,1.862031825,0.75889325,0.75889325,3.983335431,3.815264052
656250000000,-15.03327315,-4.833673679,-5.403912627,-5.403912627,-3.255908585,-2.930531322
656875000000,-9.199102675,-6.977415561,-7.103113969,-7.103113969,-6.281217812,-6.167457414
657500000000,-2.434723544,-2.159076821,-2.066212781,-2.066212781,-2.346429045,-2.382770797
658125000000,4.19999503,0.522037684,0.360147088,0.360147088,0.907421201,0.983130693
658750000000,-16.40993136,1.350401535,1.522075587,1.522075587,1.070261998,1.016101485
659375000000,-7.028783823,4.605977773,4.903599545,4.903599545,4.108807455,3.958689398
660000000000,-4.123319941,-1.979114793,-2.145685668,-2.145685668,-1.237927561,-1.25360655
660625000000,-11.66790622,-2.890465948,-2.96130641,-2.96130641,-2.826201267,-2.856560683
661250000000,-2.195901329,-1.656204713,-1.469039126,-1.469039126,-1.917343555,-1.945877486
661875000000,1.242862531,-0.605166566,-0.346919967,-0.346919967,-1.020396541,-1.06827774
662500000000,0.540478448,0.504105594,0.604774633,0.604774633,0.197903075,0.163197227
663125000000,-1.02361452,-0.453964084,-0.230195716,-0.230195716,-0.885392151,-1.153640596
663750000000,5.712902147,4.311304092,3.890483232,3.890483232,2.220560721,1.966279429
664375000000,2.129988787,1.391372202,1.465616891,1.465616891,1.192524634,1.141487874
665000000000,8.359590741,10.38198281,12.55456834,12.55456834,9.077200748,8.958040769
665625000000,-3.792298149,-2.574069749,-2.816124977,-2.816124977,-2.280997941,-2.223251218
666250000000,-8.45728479,-0.948016374,-3.598702979,-3.598702979,2.832429105,2.627857828
666875000000,-7.12695534,1.02421098,0.402786157,0.402786157,2.56530104,2.747330586
667500000000,-10.05104956,-2.947303452,-3.575921715,-3.575921715,-1.460654458,-1.296325182
668125000000,-11.45476189,-6.554710315,-6.966913141,-6.966913141,-5.608256311,-5.473044722
